Wavenumber(cm-1),Transmittance(%),Absorbance(A.U.)
7.520000000000000000e+02,8.693064425949388863e+01,2.060827101724111987e+00
7.530000000000000000e+02,8.681318386905559237e+01,2.061414315759059424e+00
7.540000000000000000e+02,8.662501003330586968e+01,2.062356702078155468e+00
7.550000000000000000e+02,8.636893940783244261e+01,2.063642413413185217e+00
7.560000000000000000e+02,8.604802193463993376e+01,2.065259108750072237e+00
7.570000000000000000e+02,8.566548217447677871e+01,2.067194136314185027e+00
7.580000000000000000e+02,8.522467334558764662e+01,2.069434654686699737e+00
7.590000000000000000e+02,8.472904165413442001e+01,2.071967705745541899e+00
7.600000000000000000e+02,8.418209919269935426e+01,2.074780248741965760e+00
7.610000000000000000e+02,8.358740475330844788e+01,2.077859158664316475e+00
7.620000000000000000e+02,8.294855328835200226e+01,2.081191184134674188e+00
7.630000000000000000e+02,8.226917646357348701e+01,2.084762850075789320e+00
7.640000000000000000e+02,8.155295881389544377e+01,2.088560277747714355e+00
7.650000000000000000e+02,8.080367644140146410e+01,2.092568879053502862e+00
7.660000000000000000e+02,8.002526789214556402e+01,2.096772863339583459e+00
7.670000000000000000e+02,7.922194950578477801e+01,2.101154474615551493e+00
7.680000000000000000e+02,7.839838944593972769e+01,2.105692859023796881e+00
7.690000000000000000e+02,7.755995444614040935e+01,2.110362454670635657e+00
7.700000000000000000e+02,7.671303879657112645e+01,2.115130813415608824e+00
7.710000000000000000e+02,7.586547297249326505e+01,2.119955830285789933e+00
7.720000000000000000e+02,7.502698565537806985e+01,2.124782501764329368e+00
7.730000000000000000e+02,7.420965473148211800e+01,2.129539589008855316e+00
7.740000000000000000e+02,7.342823152930890274e+01,2.134136931363359135e+00
7.750000000000000000e+02,7.270016913243946988e+01,2.138464578780580716e+00
7.760000000000000000e+02,7.204515586566836305e+01,2.142395214732499831e+00
7.770000000000000000e+02,7.148398817951147066e+01,2.145791225667829760e+00
7.780000000000000000e+02,7.103674949470712363e+01,2.148516919256614699e+00
7.790000000000000000e+02,7.072049308791936539e+01,2.150454719931975234e+00
7.800000000000000000e+02,7.054688791315676610e+01,2.151522139839527448e+00
7.810000000000000000e+02,7.052044196593135439e+01,2.151684974552470209e+00
7.820000000000000000e+02,7.063784157260019470e+01,2.150962579637605288e+00
7.830000000000000000e+02,7.088862215783655074e+01,2.149423464825339636e+00
